X,Y,m,b,+/-,r2,p
surface_pressure,LW_down,0.013709893,977.8663487,1,0.001810615,2.20E-43
surface_pressure,SW_down,0.039629728,977.3658687,1,0.000795808,2.25E-34
surface_pressure,rainfall,-13.87946736,1000.407133,-1,0.331878049,4.55E-61
surface_pressure,snowfall,-23.37466996,997.9620347,-1,0.388322116,2.72E-65
surface_pressure,sosaline,-3.598190542,1100.855537,-1,0.010076767,1.37E-06
surface_pressure,sst,0.305558508,897.2380452,1,0.008244197,5.57E-07
surface_pressure,t2m,0.047990581,968.4781393,1,0.0013874,8.81E-20
surface_pressure,sea_ice_extent,-2.00E-08,981.1846355,-1,0.000154681,1.93E-112
sea_ice_extent,year,-54741.96491,109082674,-1,0.899448618,1.66E-20
sea_ice_extent,wind_10m,-4079284.133,20726310.07,-1,0.095750949,0.055515
sea_ice_extent,specific_humidity,-6702597.657,15365429.68,-1,0.842612512,1.53E-16
sea_ice_extent,LW_down,-187704.2588,45199534.74,-1,0.879941106,5.59E-19
sea_ice_extent,SW_down,357627.0005,-34838172.36,1,0.168024993,0.00807494
sea_ice_extent,rainfall,-9446844.582,12760002.24,-1,0.398615231,1.85E-05
sea_ice_extent,snowfall,8987490.96,-6767545.493,1,0.148842003,0.010211662
sea_ice_extent,sosaline,2058195.816,-68768267.77,1,0.008548181,0.568640521
sea_ice_extent,sst,-2003333.351,550101818.6,-1,0.918784075,2.62E-22
sea_ice_extent,t2m,-754622.5782,199583246.1,-1,0.889398871,9.73E-20
sea_ice_extent,surface_pressure,-7724.045603,7259621.395,-1,0.000154681,0.941837658
